job_title,job_description,required_skills
Data Scientist,"We are looking for a Data Scientist who can build and deploy machine learning models. You will work with large datasets using Python, pandas, and numpy. You must have strong SQL skills for data extraction and statistics knowledge for analysis. Experience with scikit-learn for model building is required. TensorFlow or PyTorch for deep learning is a plus. You will create visualizations using matplotlib and seaborn. A/B testing and hypothesis testing experience expected. Strong communication and storytelling skills are necessary to present findings.","Python, SQL, Pandas, NumPy, Scikit-learn, Statistics, Machine Learning, TensorFlow, Matplotlib, Seaborn, A/B Testing, Communication, Storytelling"
Senior Data Scientist,"Senior Data Scientist role requiring expertise in machine learning and deep learning. Must have advanced Python and SQL skills. Experience with cloud platforms such as AWS or GCP is required. Big data experience with Spark is preferred. Build predictive and classification models using PyTorch or TensorFlow. Strong background in statistics and probability. Conduct A/B testing and hypothesis testing to validate models. NLP experience is a plus.","Python, SQL, Machine Learning, Deep Learning, AWS, Spark, Statistics, PyTorch, TensorFlow, A/B Testing, Probability, NLP, Classification"
Data Scientist - NLP Focus,"We are seeking a Data Scientist with a focus on Natural Language Processing. You will build text classification and clustering models using Python. Must be familiar with NLTK, SpaCy, and Hugging Face transformers. Scikit-learn for model training. SQL for data extraction. Strong understanding of deep learning and neural networks. Experience with regression and feature engineering is essential.","Python, NLP, NLTK, SpaCy, Hugging Face, Scikit-learn, SQL, Deep Learning, Neural Networks, Classification, Clustering, Regression, Feature Engineering"
Machine Learning Engineer,"Looking for an ML Engineer to build and deploy machine learning systems at scale. Strong Python programming is required. Proficiency with TensorFlow and PyTorch. Experience with Docker and Kubernetes for containerization and deployment. MLflow for experiment tracking. AWS or Azure cloud services. Git for version control and collaboration. Apache Spark for large-scale data pipelines. Scikit-learn for baseline modeling.","Python, TensorFlow, PyTorch, Scikit-learn, Docker, Kubernetes, MLflow, AWS, Git, Spark, Model Deployment"
Machine Learning Engineer - Computer Vision,"ML Engineer specializing in computer vision. Must have hands-on experience with PyTorch and OpenCV. Deep learning knowledge including CNN architectures and transfer learning is required. Python proficiency required. Docker for containerization. AWS for deployment. Git for collaboration. Understanding of feature engineering and model evaluation.","Python, PyTorch, OpenCV, Deep Learning, Computer Vision, Docker, AWS, Transfer Learning, Git, Feature Engineering"
Machine Learning Engineer - Production,"Production-focused ML Engineer to maintain and scale machine learning pipelines. Python and SQL required. MLflow and Airflow for orchestration and experiment tracking. Docker and Kubernetes for production deployment. AWS cloud services. Git workflow expertise. XGBoost and LightGBM for gradient boosting models. Kafka for real-time data streaming. Scikit-learn for modeling.","Python, SQL, MLflow, Airflow, Docker, Kubernetes, AWS, Git, Scikit-learn, XGBoost, LightGBM, Kafka"
AI Engineer,"AI Engineer to design and build intelligent AI-powered applications. Strong Python skills required. Experience with TensorFlow, PyTorch, and Hugging Face transformer models. Background in NLP and computer vision. Docker for packaging applications. AWS or GCP for cloud deployment. Deep learning and neural networks expertise required. Git for version control.","Python, TensorFlow, PyTorch, Hugging Face, NLP, Computer Vision, Docker, AWS, Deep Learning, Neural Networks, Git"
AI Research Engineer,"AI Research Engineer to advance cutting-edge models. Deep expertise in deep learning, NLP, and computer vision required. Proficient in PyTorch and TensorFlow. Python and C++ programming skills. Experience with reinforcement learning preferred. Strong mathematical background including linear algebra, calculus, and probability. Transfer learning and feature engineering experience a plus.","Python, PyTorch, TensorFlow, Deep Learning, NLP, Computer Vision, C++, Reinforcement Learning, Linear Algebra, Calculus, Probability, Transfer Learning"
AI Engineer - Conversational AI,"Build conversational AI systems and intelligent chatbots. Python required. Experience with NLP, Hugging Face transformers, NLTK, and SpaCy. Deep learning expertise for language model fine-tuning. Docker for containerizing services. AWS or Azure for cloud hosting. Understanding of neural networks and language models. SQL for managing conversation data.","Python, NLP, Hugging Face, NLTK, SpaCy, Deep Learning, Docker, AWS, Neural Networks, SQL"
AI Engineer - MLOps Focus,"AI Engineer with MLOps expertise. Responsible for deploying and monitoring AI models in production. Python required. Experience with Docker, Kubernetes, and MLflow. Airflow for pipeline automation. AWS cloud services for infrastructure. Git for source control. Understanding of machine learning and deep learning workflows. Kafka for streaming data ingestion.","Python, Docker, Kubernetes, MLflow, Airflow, AWS, Git, Machine Learning, Deep Learning, Kafka"
